,Field,Type,Default Aggregation,Field Calculation,Dup_Calc,Dup_Field
143,Total Ingredient Costs YTD (Up/Down),string,,"IF [Total Claims YTD (YoY) (copy)] > 0 
THEN ""▲ "" + STR(ROUND([Total Claims YTD (YoY) (copy)]*100,1)) + ""%"" 
ELSEIF [Total Claims YTD (YoY) (copy)] < 0 
THEN ""▼ "" + STR(ROUND(ABS([Total Claims YTD (YoY) (copy)]*100),1)) + ""%"" 
ELSE STR(ROUND(ABS([Total Claims YTD (YoY) (copy)]*100),1)) + ""%"" 
END",,
218,Total Membership YTD (Down),string,,"IF [Total Ingredient Cost YTD (YoY) (copy)]<0 THEN ""▼ "" + STR(ROUND([Total Ingredient Cost YTD (YoY) (copy)]*100,1))+""%"" END",,
223,Total Membership YTD (Up),string,,"IF [Total Ingredient Cost YTD (YoY) (copy)]>=0 THEN ""▲ "" + STR(ROUND([Total Ingredient Cost YTD (YoY) (copy)]*100,1))+""%"" END",,
204,Total Membership YTD (Up/Down),string,,"IF [Total Ingredient Cost YTD (YoY) (copy)] > 0 
THEN ""▲ "" + STR(ROUND([Total Ingredient Cost YTD (YoY) (copy)]*100,1))+""%""
ELSEIF [Total Ingredient Cost YTD (YoY) (copy)] < 0 
THEN ""▼ "" + STR(ROUND(ABS([Total Ingredient Cost YTD (YoY) (copy)]*100),1))+""%"" 
ELSE STR(ROUND([Total Ingredient Cost YTD (YoY) (copy)]*100,1))+""%"" 
END",,
236,Total Membership YTD (YoY) ,real,,([CY Members (LOD) (copy)]-[Avg CY Members (LOD) (copy)])/[Avg CY Members (LOD) (copy)],,
100,Trends ,integer,,"IF [Trends] = ""X"" THEN 1 ELSE 0 END",,
93,Utilization ,integer,,"IF [Utilization] = ""X"" THEN 1 ELSE 0 END",,
314,Valid Population,string,,,,
321,Valid Population with Alignment,string,,IF Client = 'Alignment Healthcare' THEN 'Y' ELSE [ValidPopulation] END,,
225,YTD Difference,real,,"CASE [Parameters].[Parameter 2]
WHEN ""Total Claims"" THEN
(SUM([Multiple Measure Formats (copy 2)])-SUM([CY Total Scripts (copy)]))/SUM([CY Total Scripts (copy)])
WHEN ""Rx/PMPY"" THEN
([Rx PMPY - Actual (for trends) (copy)]-[Rx PMPY - Actual (CY) (copy)])/[Rx PMPY - Actual (CY) (copy)]
WHEN ""IC/Rx"" THEN
([PY Ingredient Cost per Claim (copy)]-SUM([PY Total Scripts (copy)])/SUM([CY Total Scripts (copy)]))/SUM([PY Total Scripts (copy)])/SUM([CY Total Scripts (copy)])
WHEN ""IC/PMPM"" THEN
([Rx PMPY - Actual (CY) (copy 2)]-[CY IC PMPM (copy)])/[CY IC PMPM (copy)]
WHEN ""IC Total$"" THEN
(SUM([CY Total Scripts (copy 3)])-SUM([PY Total Scripts (copy)]))/SUM([PY Total Scripts (copy)])
WHEN ""Discount"" THEN
(SUM([CY Total AWP (copy 2)])-SUM([CY Total Ingredient Cost (copy)]))/SUM([CY Total AWP (copy 2)])-(SUM([PY Total AWP (copy 2)])-SUM([PY Total Ingredient Cost (copy 2)]))/SUM([PY Total AWP (copy 2)])
WHEN ""GUR"" THEN
SUM(IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""Y"" THEN
[Act_Claims] END)/SUM([Multiple Measure Formats (copy 2)])-[PY Claims PMPY (copy)]
END",,
164,YTD Difference - PPY vs PY,real,,"CASE [Parameters].[Parameter 2]
WHEN ""Total Claims"" THEN
(SUM([CY Total Scripts (copy)]) - [PPY Total Ingredient Cost (copy)])/[PPY Total Ingredient Cost (copy)]
WHEN ""Rx/PMPY"" THEN
([Rx PMPY - Actual (CY) (copy)]-[PY Claims PMPY (copy 2)])/[PY Claims PMPY (copy 2)]
WHEN ""IC/Rx"" THEN
(SUM([PY Total Scripts (copy)])/SUM([CY Total Scripts (copy)])-[PY Ingredient Cost per Claim (copy 2)])/[PY Ingredient Cost per Claim (copy 2)]
WHEN ""IC/PMPM"" THEN
([CY IC PMPM (copy)]-[PY Ingredient Cost PMPM (copy)])/[PY Ingredient Cost PMPM (copy)]
WHEN ""IC Total$"" THEN
(SUM([PY Total Scripts (copy)])-[PY Total Ingredient Cost (copy 3)])/[PY Total Ingredient Cost (copy 3)]
WHEN ""Discount"" THEN
(SUM([PY Total AWP (copy 2)])-SUM([PY Total Ingredient Cost (copy 2)]))/SUM([PY Total AWP (copy 2)])-[PY Discount % (copy)]
WHEN ""GUR"" THEN
([PY Claims PMPY (copy)]-[PY Generic Utilization Rate (copy)])
END",,
224,YTD Difference w/ Arrows,string,,"IF CASE [Parameters].[Parameter 2]
WHEN ""Total Claims"" THEN
(SUM([Multiple Measure Formats (copy 2)])-SUM([CY Total Scripts (copy)]))/SUM([CY Total Scripts (copy)])
WHEN ""Rx/PMPY"" THEN
([Rx PMPY - Actual (for trends) (copy)]-[Rx PMPY - Actual (CY) (copy)])/[Rx PMPY - Actual (CY) (copy)]
WHEN ""IC/Rx"" THEN
([PY Ingredient Cost per Claim (copy)]-SUM([PY Total Scripts (copy)])/SUM([CY Total Scripts (copy)]))/SUM([PY Total Scripts (copy)])/SUM([CY Total Scripts (copy)])
WHEN ""IC/PMPM"" THEN
([Rx PMPY - Actual (CY) (copy 2)]-[CY IC PMPM (copy)])/[CY IC PMPM (copy)]
WHEN ""IC Total$"" THEN
(SUM([CY Total Scripts (copy 3)])-SUM([PY Total Scripts (copy)]))/SUM([PY Total Scripts (copy)])
WHEN ""Discount"" THEN
(SUM([CY Total AWP (copy 2)])-SUM([CY Total Ingredient Cost (copy)]))/SUM([CY Total AWP (copy 2)])-(SUM([PY Total AWP (copy 2)])-SUM([PY Total Ingredient Cost (copy 2)]))/SUM([PY Total AWP (copy 2)])
WHEN ""GUR"" THEN
SUM(IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""Y"" THEN
[Act_Claims] END)/SUM([Multiple Measure Formats (copy 2)])-[PY Claims PMPY (copy)]
END > 0 
THEN ""▲"" + STR(ROUND(100*CASE [Parameters].[Parameter 2]
WHEN ""Total Claims"" THEN
(SUM([Multiple Measure Formats (copy 2)])-SUM([CY Total Scripts (copy)]))/SUM([CY Total Scripts (copy)])
WHEN ""Rx/PMPY"" THEN
([Rx PMPY - Actual (for trends) (copy)]-[Rx PMPY - Actual (CY) (copy)])/[Rx PMPY - Actual (CY) (copy)]
WHEN ""IC/Rx"" THEN
([PY Ingredient Cost per Claim (copy)]-SUM([PY Total Scripts (copy)])/SUM([CY Total Scripts (copy)]))/SUM([PY Total Scripts (copy)])/SUM([CY Total Scripts (copy)])
WHEN ""IC/PMPM"" THEN
([Rx PMPY - Actual (CY) (copy 2)]-[CY IC PMPM (copy)])/[CY IC PMPM (copy)]
WHEN ""IC Total$"" THEN
(SUM([CY Total Scripts (copy 3)])-SUM([PY Total Scripts (copy)]))/SUM([PY Total Scripts (copy)])
WHEN ""Discount"" THEN
(SUM([CY Total AWP (copy 2)])-SUM([CY Total Ingredient Cost (copy)]))/SUM([CY Total AWP (copy 2)])-(SUM([PY Total AWP (copy 2)])-SUM([PY Total Ingredient Cost (copy 2)]))/SUM([PY Total AWP (copy 2)])
WHEN ""GUR"" THEN
SUM(IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""Y"" THEN
[Act_Claims] END)/SUM([Multiple Measure Formats (copy 2)])-[PY Claims PMPY (copy)]
END,1)) + ""%"" 
ELSEIF CASE [Parameters].[Parameter 2]
WHEN ""Total Claims"" THEN
(SUM([Multiple Measure Formats (copy 2)])-SUM([CY Total Scripts (copy)]))/SUM([CY Total Scripts (copy)])
WHEN ""Rx/PMPY"" THEN
([Rx PMPY - Actual (for trends) (copy)]-[Rx PMPY - Actual (CY) (copy)])/[Rx PMPY - Actual (CY) (copy)]
WHEN ""IC/Rx"" THEN
([PY Ingredient Cost per Claim (copy)]-SUM([PY Total Scripts (copy)])/SUM([CY Total Scripts (copy)]))/SUM([PY Total Scripts (copy)])/SUM([CY Total Scripts (copy)])
WHEN ""IC/PMPM"" THEN
([Rx PMPY - Actual (CY) (copy 2)]-[CY IC PMPM (copy)])/[CY IC PMPM (copy)]
WHEN ""IC Total$"" THEN
(SUM([CY Total Scripts (copy 3)])-SUM([PY Total Scripts (copy)]))/SUM([PY Total Scripts (copy)])
WHEN ""Discount"" THEN
(SUM([CY Total AWP (copy 2)])-SUM([CY Total Ingredient Cost (copy)]))/SUM([CY Total AWP (copy 2)])-(SUM([PY Total AWP (copy 2)])-SUM([PY Total Ingredient Cost (copy 2)]))/SUM([PY Total AWP (copy 2)])
WHEN ""GUR"" THEN
SUM(IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""Y"" THEN
[Act_Claims] END)/SUM([Multiple Measure Formats (copy 2)])-[PY Claims PMPY (copy)]
END < 0 THEN ""▼"" + STR(ROUND(100*abs(CASE [Parameters].[Parameter 2]
WHEN ""Total Claims"" THEN
(SUM([Multiple Measure Formats (copy 2)])-SUM([CY Total Scripts (copy)]))/SUM([CY Total Scripts (copy)])
WHEN ""Rx/PMPY"" THEN
([Rx PMPY - Actual (for trends) (copy)]-[Rx PMPY - Actual (CY) (copy)])/[Rx PMPY - Actual (CY) (copy)]
WHEN ""IC/Rx"" THEN
([PY Ingredient Cost per Claim (copy)]-SUM([PY Total Scripts (copy)])/SUM([CY Total Scripts (copy)]))/SUM([PY Total Scripts (copy)])/SUM([CY Total Scripts (copy)])
WHEN ""IC/PMPM"" THEN
([Rx PMPY - Actual (CY) (copy 2)]-[CY IC PMPM (copy)])/[CY IC PMPM (copy)]
WHEN ""IC Total$"" THEN
(SUM([CY Total Scripts (copy 3)])-SUM([PY Total Scripts (copy)]))/SUM([PY Total Scripts (copy)])
WHEN ""Discount"" THEN
(SUM([CY Total AWP (copy 2)])-SUM([CY Total Ingredient Cost (copy)]))/SUM([CY Total AWP (copy 2)])-(SUM([PY Total AWP (copy 2)])-SUM([PY Total Ingredient Cost (copy 2)]))/SUM([PY Total AWP (copy 2)])
WHEN ""GUR"" THEN
SUM(IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""Y"" THEN
[Act_Claims] END)/SUM([Multiple Measure Formats (copy 2)])-[PY Claims PMPY (copy)]
END),1)) + ""%"" 
ELSE STR(ROUND(100*CASE [Parameters].[Parameter 2]
WHEN ""Total Claims"" THEN
(SUM([Multiple Measure Formats (copy 2)])-SUM([CY Total Scripts (copy)]))/SUM([CY Total Scripts (copy)])
WHEN ""Rx/PMPY"" THEN
([Rx PMPY - Actual (for trends) (copy)]-[Rx PMPY - Actual (CY) (copy)])/[Rx PMPY - Actual (CY) (copy)]
WHEN ""IC/Rx"" THEN
([PY Ingredient Cost per Claim (copy)]-SUM([PY Total Scripts (copy)])/SUM([CY Total Scripts (copy)]))/SUM([PY Total Scripts (copy)])/SUM([CY Total Scripts (copy)])
WHEN ""IC/PMPM"" THEN
([Rx PMPY - Actual (CY) (copy 2)]-[CY IC PMPM (copy)])/[CY IC PMPM (copy)]
WHEN ""IC Total$"" THEN
(SUM([CY Total Scripts (copy 3)])-SUM([PY Total Scripts (copy)]))/SUM([PY Total Scripts (copy)])
WHEN ""Discount"" THEN
(SUM([CY Total AWP (copy 2)])-SUM([CY Total Ingredient Cost (copy)]))/SUM([CY Total AWP (copy 2)])-(SUM([PY Total AWP (copy 2)])-SUM([PY Total Ingredient Cost (copy 2)]))/SUM([PY Total AWP (copy 2)])
WHEN ""GUR"" THEN
SUM(IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""Y"" THEN
[Act_Claims] END)/SUM([Multiple Measure Formats (copy 2)])-[PY Claims PMPY (copy)]
END,1)) + ""%"" 
END",,
521,YTD Filter,string,,"IF MONTH([FilledMonth]) <= {FIXED 1 : MAX(IF YEAR([FilledMonth]) = [Parameters].[Parameter 5] THEN MONTH([FilledMonth]) END) } 
THEN 'Show' 
ELSE 'Hide' 
END",,
529,YTD Period Label,string,,"IF MAX(YEAR([FilledYear])) = MAX(YEAR([ThruDate])) THEN 
    ""YTD "" + STR([Parameters].[Parameter 5]-1) +
    "" to YTD "" + STR([Parameters].[Parameter 5])
ELSE
    STR([Parameters].[Parameter 5]-1) + "" to "" + STR([Parameters].[Parameter 5])
END",,
103,YTD Year,integer,,"IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) 
AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN YEAR([ThruDate])
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN YEAR([ThruDate])-1
ELSE YEAR([ThruDate])-2
END",,
227,Year - 1 Year Prior,string,,STR(MAX(YEAR([ThruDate]))-1),,
245,Year - 1 Year Prior ((vs)),string,,"IF MAX({FIXED [Client] : COUNTD(YEAR([FilledYear]))}) > 1 THEN
    ""(vs. "" + STR(MAX(YEAR([ThruDate]))-1) + "")""
END",,
270,Year - 1 Year Prior (vs),string,,"IF [Total Ingredient Costs YTD (Up) (copy 3)] <> """" THEN
    ""vs. "" + STR(MAX(YEAR([ThruDate]))-1)
ELSE """"
END",,
180,Year - 2 Years Prior,string,,"IF MAX({FIXED [Client] : COUNTD(YEAR([FilledYear]))}) > 2 THEN
    ""vs. "" + STR(MAX(YEAR([ThruDate]))-2)
END",,
211,Year Label (Executive Summary),string,,"IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END",,1
114,Year Label Trend Diff,string,,"IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END",,1
144,YoY Calculation,real,,"IF [Parameters].[Parameter 2]=""Discount"" OR [Parameters].[Parameter 2]=""GUR"" THEN 
    ZN([Multiple Measure Formats (copy)]) - LOOKUP(ZN([Multiple Measure Formats (copy)]), -1)
END
//ELSE
//    IF attr(YEAR([Filled Month])) =  MAX({ FIXED [Span Data] : MAX(YEAR([Filled Month])) }) THEN
//        (ZN([Metric Selector]) - LOOKUP(ZN([Metric Selector]), -1)) / ABS(LOOKUP(ZN([Metric Selector]), -1))
//    END
//END",,
147,YoY Trend,real,,"IF [Parameters].[Parameter 2]=""Discount"" OR [Parameters].[Parameter 2]=""GUR"" THEN 
    

    IF ATTR([Year Label (copy)]) = 'Current Year' THEN
        IF MAX(INT(STR(YEAR([FilledMonth])))) =  MAX({ FIXED 1 : MAX(YEAR([FilledMonth])) }) THEN
            ZN([Multiple Measure Formats (copy)]) - LOOKUP(ZN([Multiple Measure Formats (copy)]), -1)
        END
    ELSEIF ATTR([Year Label (copy)]) = 'Prior Year' THEN
        IF MAX(INT(STR(YEAR([FilledMonth])))) =  MAX({ FIXED 1 : MAX(YEAR([FilledMonth])) }) - 1 
            AND MAX(MONTH([FilledMonth])) > MAX({ FIXED 1 : MONTH(MAX([FilledMonth])) }) THEN 
                ZN([Multiple Measure Formats (copy)]) - LOOKUP(ZN([Multiple Measure Formats (copy)]), -1)
        END
    END
ELSE
    IF ATTR([Year Label (copy)]) = 'Current Year' THEN
        IF MAX(INT(STR(YEAR([FilledMonth])))) =  MAX({ FIXED 1 : MAX(YEAR([FilledMonth])) }) THEN
            (ZN([Multiple Measure Formats (copy)]) - LOOKUP(ZN([Multiple Measure Formats (copy)]), -1)) / ABS(LOOKUP(ZN([Multiple Measure Formats (copy)]), -1))
        END
    ELSEIF ATTR([Year Label (copy)]) = 'Prior Year' THEN
        IF MAX(INT(STR(YEAR([FilledMonth])))) =  MAX({ FIXED 1 : MAX(YEAR([FilledMonth])) }) - 1 
            AND MAX(MONTH([FilledMonth])) > MAX({ FIXED 1 : MONTH(MAX([FilledMonth])) }) THEN
                (ZN([Multiple Measure Formats (copy)]) - LOOKUP(ZN([Multiple Measure Formats (copy)]), -1)) / ABS(LOOKUP(ZN([Multiple Measure Formats (copy)]), -1))
        END
    END
END",,
324,by Year,string,,"""year""",,
301,sk_id,string,,,,
537,$ Decimal Label,real,,"CASE [Parameters].[Parameter 6]
    WHEN 'Ingredient Cost Per Claim' THEN CASE [Parameters].[Parameter 6]
    WHEN 'Total Claims' THEN SUM([Act_Claims])
    WHEN 'Total Ingredient Cost' THEN SUM([Act_IngCost])
    WHEN 'Ingredient Cost Per Claim' THEN SUM([Act_IngCost])/SUM([Act_Claims])
    WHEN 'Discount %' THEN 1-(SUM([Act_IngCost])/SUM([Act_AWP]))
    WHEN 'Generic Utilization Rate' THEN ZN(
SUM(IF CONTAINS(UPPER([ClaimType]), 'GENERIC') THEN [Act_Claims] END)
/
SUM([Act_Claims])
)
END
END",1.0,
116,$ Decimal Label,real,,"CASE [Parameters].[Parameter 2]
    WHEN ""IC/Rx"" THEN SUM([Act_IngCost])/SUM([Act_Claims])
    WHEN ""IC/PMPM"" THEN [Rx PMPY - Actual (for trends) (copy 2)]
END",1.0,
483,$ Decimal Label,real,,"CASE [Parameters].[Parameter 4]
    WHEN 'Ingredient Cost PMPM' THEN CASE [Parameters].[Parameter 4]
    WHEN 'Total Ingredient Cost' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END)
    WHEN 'Ingredient Cost PMPM' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END) / MAX(MONTH([FilledMonth]))
/ 
[Membership (LOD) (copy)]
//SUM([Membership (LOD)])
//IF MAX(YEAR([FilledMonth])) = [Year View] THEN [CY Avg Membership (LOD)] ELSE [PY Avg Membership (LOD)] END
    WHEN 'Discount %' THEN (SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_AWP] END)-SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END)) / SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_AWP] END)
    WHEN 'Specialty%/TC' THEN [Specialty % of Total Spend (copy)]
    WHEN 'Total Claims' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_Claims] END)
    WHEN 'Claims PMPY' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_Claims] END)
/ 
SUM({FIXED [Client], [Contract], [PBP], [FilledMonth] : AVG([Act_Members])})
    WHEN 'Ingredient Cost PC' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END)/ SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_Claims] END)
END
    WHEN 'Ingredient Cost PC' THEN CASE [Parameters].[Parameter 4]
    WHEN 'Total Ingredient Cost' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END)
    WHEN 'Ingredient Cost PMPM' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END) / MAX(MONTH([FilledMonth]))
/ 
[Membership (LOD) (copy)]
//SUM([Membership (LOD)])
//IF MAX(YEAR([FilledMonth])) = [Year View] THEN [CY Avg Membership (LOD)] ELSE [PY Avg Membership (LOD)] END
    WHEN 'Discount %' THEN (SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_AWP] END)-SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END)) / SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_AWP] END)
    WHEN 'Specialty%/TC' THEN [Specialty % of Total Spend (copy)]
    WHEN 'Total Claims' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_Claims] END)
    WHEN 'Claims PMPY' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_Claims] END)
/ 
SUM({FIXED [Client], [Contract], [PBP], [FilledMonth] : AVG([Act_Members])})
    WHEN 'Ingredient Cost PC' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END)/ SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_Claims] END)
END
END",1.0,
176,$ Integer Label,real,,"CASE [Parameters].[Parameter 2]
    WHEN ""IC Total$"" THEN [Act_IngCost]
END",1.0,
562,$ Integer Label,real,,"CASE [Parameters].[Parameter 6]
    WHEN 'Total Ingredient Cost' THEN CASE [Parameters].[Parameter 6]
    WHEN 'Total Claims' THEN SUM([Act_Claims])
    WHEN 'Total Ingredient Cost' THEN SUM([Act_IngCost])
    WHEN 'Ingredient Cost Per Claim' THEN SUM([Act_IngCost])/SUM([Act_Claims])
    WHEN 'Discount %' THEN 1-(SUM([Act_IngCost])/SUM([Act_AWP]))
    WHEN 'Generic Utilization Rate' THEN ZN(
SUM(IF CONTAINS(UPPER([ClaimType]), 'GENERIC') THEN [Act_Claims] END)
/
SUM([Act_Claims])
)
END
END",1.0,
77,% Returned,real,,"SUM(
    IF [Returned]='Yes'
    THEN [Sales]
END)/SUM([Sales])",1.0,
43,% Returned,real,,"COUNT(
    IF [Returned]='Yes'
    THEN [Sales]
END)/SUM([Sales])",1.0,
500,Claims PMPY,real,,"SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_Claims] END)
/ 
SUM({FIXED [Client], [Contract], [PBP], [FilledMonth] : AVG([Act_Members])})",1.0,
202,Claims PMPY,real,,"SUM([Act_Claims])
/
SUM({ FIXED [Population], [Contract], [PBP], [FilledMonth]:AVG([Act_Members])}) * 12",1.0,
148,Client TF,string,,"IF [Parameters].[Client Parameter] = 'All'
THEN ""TRUE""
ELSEIF [Parameters].[Client Parameter]=[Client]
THEN ""TRUE""
END",1.0,
336,Client TF,string,,"IF [Parameters].[Client Parameter] = 'All'
THEN ""TRUE""
ELSEIF [Parameters].[Client Parameter] = [Client]
THEN ""TRUE""
END",1.0,
412,Client TF,string,,"IF [Parameters].[Client Parameter] = 'All'
THEN 'TRUE'
ELSEIF [Client] = [Parameters].[Client Parameter]
THEN 'TRUE'
END",1.0,
118,Decimal Label,real,,"CASE [Parameters].[Parameter 2]
    WHEN ""Rx/PMPY"" THEN [Rx PMPY - Actual (copy 4)]
END",1.0,
504,Decimal Label,real,,"CASE [Parameters].[Parameter 4]
    WHEN 'Claims PMPY' THEN CASE [Parameters].[Parameter 4]
    WHEN 'Total Ingredient Cost' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END)
    WHEN 'Ingredient Cost PMPM' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END) / MAX(MONTH([FilledMonth]))
/ 
[Membership (LOD) (copy)]
//SUM([Membership (LOD)])
//IF MAX(YEAR([FilledMonth])) = [Year View] THEN [CY Avg Membership (LOD)] ELSE [PY Avg Membership (LOD)] END
    WHEN 'Discount %' THEN (SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_AWP] END)-SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END)) / SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_AWP] END)
    WHEN 'Specialty%/TC' THEN [Specialty % of Total Spend (copy)]
    WHEN 'Total Claims' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_Claims] END)
    WHEN 'Claims PMPY' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_Claims] END)
/ 
SUM({FIXED [Client], [Contract], [PBP], [FilledMonth] : AVG([Act_Members])})
    WHEN 'Ingredient Cost PC' THEN SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END)/ SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_Claims] END)
END
END",1.0,
571,Discount %,real,,1-(SUM([Act_IngCost])/SUM([Act_AWP])),1.0,
473,Discount %,real,,(SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_AWP] END)-SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END)) / SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_AWP] END),1.0,
127,Discount %,real,,"(SUM(IF [Exclude]=""N"" THEN [Act_AWP] END)-SUM(IF [Exclude]=""N"" THEN [Act_IngCost] END))/SUM(IF [Exclude]=""N"" THEN [Act_AWP] END)",1.0,
377,Discount AWP,real,,IF [Exclude] = 'N' THEN [Act_AWP] END,1.0,
139,Discount AWP,real,,"IF [Exclude]=""N"" THEN [Act_AWP] END",1.0,
285,Executive Summary Filter,string,,"IF [Parameters].[Parameter 1]=""All Populations"" THEN ""Y"" ELSE [ValidPopulation] END",1.0,
243,Executive Summary Filter,string,,"IF [Parameters].[Parameter 1]=""All Populations"" THEN ""Y"" 
ELSE  
    IF LOWER([Client]) = 'alignment healthcare' 
        THEN 'Y'
        ELSE [ExecSummary]
    END
END",1.0,
463,Generic Claims,real,,"ZN(IF [ClaimType] <> ""Brand"" THEN [Act_Claims] END)",1.0,
248,Generic Claims,real,,"IIF([GenericFlag]=""Y"", [Act_Claims], 0)",1.0,
534,Generic Utilization Rate,real,,"ZN(
SUM(IF CONTAINS(UPPER([ClaimType]), 'GENERIC') THEN [Act_Claims] END)
/
SUM([Act_Claims])
)",1.0,
512,Generic Utilization Rate,real,,"SUM(ZN(IF [ClaimType] <> ""Brand"" THEN [Act_Claims] END))/SUM([Act_Claims])",1.0,
153,Generic Utilization Rate,real,,SUM([Act Claims (copy)])/SUM([Act_Claims]),1.0,
470,Ingredient Cost PMPM,real,,"SUM(IF UPPER([DrugType]) = 'SPECIALTY' THEN [Act_IngCost] END) / MAX(MONTH([FilledMonth]))
/ 
[Membership (LOD) (copy)]
//SUM([Membership (LOD)])
//IF MAX(YEAR([FilledMonth])) = [Year View] THEN [CY Avg Membership (LOD)] ELSE [PY Avg Membership (LOD)] END",1.0,
